Maske,Kennung,Komponente,Bezeichnung,Kosten ( ? /dt ),kg Frichmasse,TS in %,asd,MJ NEL,NDF,Grundfutter NDF,ADF,Lignin,NFC,St?rke,Zucker,Rohprotein,l?sl. Protein,Asche,Kalzium,Phosphor,Magnesium,Kalium,Natrium,Schwefel,Kationen,Anionen
,TK 01,Erbsen,,,,87.8,0.878,7.92,0.086,0,0.052,0,0.659,0.63,0,0.213,0.45,0.0271,0.0008,0.0036,0.0012,0.0101,0,0,,
,TK 02,Gerste,,,,88,0.88,8.00,0.165,0,0.045,0,0.665,0.63,0,0.1215,0.5,0.029,0.0008,0.0053,0.0015,0.0064,0.0001,0.0032,,
,TK 03,Leinexpeller,,,,88,0.88,8.06,0.415,0,0.1364,0,0.119,0,0,0.3148,0.45,0.05,0.0043,0.0085,0.0053,0.0114,0.0011,0,,
,TK 04,Lupinen,,,,90.3,0.903,7.3,0.247,0,0.194,0,0.236,0,0,0.448,0.85,0.035,0.0023,0.0086,0.0029,0.0135,0.0001,0.0043,,
,TK 05,Melasseschnitzel,,,,90.5,0.905,7.5,0.35,0.035,0.256,0,0.43,0,0,0.1,0.45,0.0916,0.0117,0.0007,0.0019,0.0129,0.001,0.0042,,
,TK 06,Rapsexpeller,,,,88.9,0.889,8.01,0.273,0,0.225,0,0.159,0,0,0.351,0.45,0.05,0.0067,0.0105,0.0045,0.0138,0.0004,0.0066,,
,TK 07,Rapsschrot,,,,87.7,0.877,7.09,0.315,0,0.244,0,0.15,0,0,0.363,0.28,0.07,0.0076,0.0115,0.0059,0,0,0,,
,TK 08,Weizen,,,,86,0.86,8.47,0.0732,0,0.0732,0,0.7454,0.65,0,0.1355,0.45,0.02,0.0012,0.0036,0.0012,0.0046,0.001,0.0014,,
x,FK 07,K?rnermais,,,,88,0.88,8.62,0.092,0,0.037,0,0.764,0.7,0,0.091,0.1,0.02,0.0003,0.0029,0.0014,0.0037,0.0003,0.0012,,
,TK 09,Sojaschrot,,,,88,0.88,8.11,0.15,0,0.1,0,0.41,0,0,0.5,0.2,0.07,0.003,0.0068,0.003,0.0198,0.0003,0.0037,,
,TK 10,Gerstenstroh,,,,90,0.9,4,0.817,0.817,0.515,0,0.051,0,0,0.044,0,0,0.0024,0.001,0.0009,0.0175,0.00063,0.0008,,
x,TK 11,Harnstoff,,,,99,0.99,,0,0,0,0,0,0,0,2.81,1,0,0,0,0,0,0,0,,
,TK 12,Ackerbohnen,,,,87,0.87,7.9,0.09,0,0,0,0.66,0,0,0.29,0,0,0.0018,0.0042,0.0015,0.0147,0.0005,0.0026,,
,TK 13,Lipicafett,,,,95,0.95,21,0,0,0,0,0,0,0,0,0,0.168,0.0526,0,0,0,0,0,,
x,TK 14,Maiskleber,,,,89,0.89,9.6,0.11,0,,0.015,0.182,,0,0.65,0.3,0.033,0.0006,0.006,0.0014,0.0046,0.0005,0,,
,TK 14,Maiskleberfutter,,,,89,0.89,7.74,0.4,0,0.1,0,0.258,0.15,0,0.2,0.48,0.067,0.00056,0.0102,0.00415,0.0132,0.00134,0,,
,TK 15,Backwaren,,,,93,0.93,8.11,0.135,0,0,0,0.58,0,0,0.13,0.25,0,0.0006,0.0032,0.0014,0.001,0.0019,0,,
,TK 16,MLF20/4,,,,88,0.88,7.9,0.25,0,0.159,0,0.341,0.22,0,0.215,0,0.081,0.01136,0.00568,0.00295,0,0.00318,0,,
,TK 17,MLF 18/3,,,,88,0.88,7.5,0.38,0,0.27,0,0.34,0.09,0,0.2,0,0,0.011,0.0047,0.0041,0.014,0.00294,0.0029,,
,TK 18,Heu Schmonsses naturschutz 01,,,,93,0.93,4.51,0.645,0.645,0.378,0,0.136,0,0,0.142,0.47,0,0.0032,0.0037,0.0016,0.0179,0.00077,0.0015,,
,TK 19,Heu H?lsmann Naturschutz 04,,,,90,0.9,5.15,0.519,0.515,0.365,0.078,0.25,0,0,0.148,0.25,0.0742,0.0064,0.0036,0.0022,0.0211,0.00157,0.0014,,
,TK 20,Hummert Heu Dez 2005 III,,,,91.4,0.914,5.06,0.564,0.564,0,0.058,0.224,0,0,0.151,0.32,0.0789,0.0062,0.0035,0.0025,0.0161,0,0.0034,,
,TK 21,Hummert Heu Maerz 2005 I,,,,91.7,0.917,4.8,0.57,0.57,0.347,0.055,0.172,0,0,0.131,0.26,0.1084,0.0058,0.0023,0.0029,0.0074,0.00344,0.002,,
,TK 22,Luzerneheu Birkholz Nov 05,,,,91.6,0.916,4.7,0.522,0.522,0.426,0.098,0.24,0,0,0.146,0.32,0.1047,0.0205,0.0027,0.0018,0.0306,0.00029,0.0021,,
,TK 23,Trockengras Birkholz Jun 05 sehr gut,,,,78,0.78,5.81,0.477,0.477,0.249,0.042,0.253,0,0,0.157,0.23,0.0928,0.0046,0.003,0.0015,0.0308,0.00103,0.0027,,
,TK 24,Luzerneheu Birkholz Juni 05 m?ssig,,,,90.9,0.909,4.5,0.529,0.529,0.426,0.098,0.206,0,0,0.171,0.32,0.116,0.0205,0.0027,0.0018,0.0306,0.00029,0.0021,,
,TK 25,Luzerneheu Hummert Sept. 04,,,,92.5,0.925,4.5,0.554,0.554,0.442,0.101,0.226,0,0,0.144,0.24,0.0921,0.0161,0.0019,0.0011,0.0261,0.00018,0.0019,,
,TK 26,Birkholz Heu 99 alt,,,,85.3,0.853,4.3,0.66,0.66,0.384,0,0.128,0,0,0.121,0.26,0,0.0033,0.0031,0.0018,0.0191,0.00082,0.0015,,
,TK 27,Palmkernexpeller,0,,,88,88%,7.73,0.30,0.00,0.00,0.09,0.20,0.02,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
x,TK 05,Sojaschalen,,,,90.5,0.905,7.25,0.672,0,0.5,0,0.43,0,0,0.11,0.45,0.0916,0.0117,0.0007,0.0019,0.0129,0.001,0.0042,,
